,OUTPUT_FILE,ID,LOOP_NAME,LINK,TAGS,BPM,KEY,DESCRIPTION
0,overcast.mp3,21855,Overcast,http://www.looperman.com/media/loops/2886897/looperman-l-2886897-0165048-overcast.mp3,"140 bpm,Hip Hop Loops,Bells Loops,2.31 MB,wav,Key : Unknown,FL Studio",140,Unknown,"
	Description : If you comment the beat you made with the loop Ill take a listen and give feedback!
"
1,lost-in-movies-polo-g-type.mp3,24492,Lost In Movies Polo G Type,http://www.looperman.com/media/loops/3005025/looperman-l-3005025-0186553-lost-in-movies-polo-g-type.mp3,"140 bpm,Trap Loops,Piano Loops,2.31 MB,wav,Key : Bm,FL Studio",140,Bm,"
	Description : Piano loop
140 bpm
B minor scale
"
2,sad-piano-loop-idk.mp3,21573,Sad Piano Loop Idk,http://www.looperman.com/media/loops/2870405/looperman-l-2870405-0148690-sad-piano-loop-idk.mp3,"140 bpm,Trap Loops,Piano Loops,2.31 MB,wav,Key : E,FL Studio",140,E,"
	Description : Made this with Morphine
"
3,money-in-my-pocket-vocal-loop.mp3,22156,Money In My Pocket  - Vocal Loop,http://www.looperman.com/media/loops/2900535/looperman-l-2900535-0163000-money-in-my-pocket-vocal-loop.mp3,"140 bpm,Trap Loops,Vocal Loops,2.31 MB,wav,Key : Am,FL Studio",140,Am,"
	Description : Made this up on the spot at home.
hit me up on Instagram if you wana work together (name on my looperman profile)
Comment a link to the song you make
"
4,atlasblue-future-bass-chords-2.mp3,18557,Future Bass Chords 2,http://www.looperman.com/media/loops/1018967/looperman-l-1018967-0117230-atlasblue-future-bass-chords-2.mp3,"140 bpm,Trap Loops,Synth Loops,2.31 MB,wav,Key : Unknown",140,Unknown,"
	Description : this is the basic chord section including a few more notes. I cant tell the key but Ill send the midi upon request. This loop is still missing low end frequencies so I suggest to add bass and also to sidechain the loop to the beat you are using!
"
5,antontitov-loop-type-drake.mp3,19077,Loop Type Drake,http://www.looperman.com/media/loops/1053032/looperman-l-1053032-0126267-antontitov-loop-type-drake.mp3,"140 bpm,Trap Loops,Bells Loops,2.31 MB,wav,Key : G",140,G,"
	Description : Detune
My beat on my SC (link on profile)
^-^
"
6,darkness-2-synth.mp3,25413,Darkness 2 Synth,http://www.looperman.com/media/loops/3056971/looperman-l-3056971-0164139-darkness-2-synth.mp3,"140 bpm,Hip Hop Loops,Synth Loops,2.31 MB,wav,Key : Unknown,FL Studio",140,Unknown,"
	Description : Made w electrax
"
7,raptureofficialmusic-moment-of-madness-drop.mp3,11030,Moment Of Madness Drop,http://www.looperman.com/media/loops/505104/looperman-l-0505104-0052356-raptureofficialmusic-moment-of-madness-drop.mp3,"140 bpm,Dubstep Loops,Bass Loops,2.31 MB,wav,Key : Unknown",140,Unknown,"
	Description : The first half of the drop, taken from the song Moment Of Madness.. If you like my loops please like my bandpage! (its on my profile)
"
8,trap-harp-melody.mp3,23331,Trap Harp Melody Prod By Toffer,http://www.looperman.com/media/loops/2956841/looperman-l-2956841-0169232-trap-harp-melody.mp3,"140 bpm,Trap Loops,Harp Loops,2.31 MB,wav,Key : Unknown,FL Studio",140,Unknown,"
	Description : Lets see what you guys can do with this. Its from a recent project of mine. Comment and ill give you some feedback!
"
9,flute-loop-1-no-halftime.mp3,15647,Flute Loop 1 No Halftime,http://www.looperman.com/media/loops/826800/looperman-l-0826800-0168225-flute-loop-1-no-halftime.mp3,"140 bpm,Trap Loops,Flute Loops,2.31 MB,wav,Key : Unknown,FL Studio",140,Unknown,"
	Description : If You Have Used This Loop Leave Some Feedback Or Say Thanks.
Posting A Link To The Track You Made Is A Huge Plus.
Apart From Being The Right Thing To Do It Also Encourages Artists To Upload More Loops/Samples.
"
10,suicideboys-dark-melody-140bpm.mp3,25963,Suicideboys Dark Melody 140bpm,http://www.looperman.com/media/loops/3092292/looperman-l-3092292-0174969-suicideboys-dark-melody-140bpm.mp3,"140 bpm,Trap Loops,Organ Loops,2.31 MB,wav,Key : Unknown,FL Studio",140,Unknown,"
	Description : Some dark melody, made with xpand organ preset
"
11,raptureofficialmusic-otto-robato.mp3,11035,Otto Robato,http://www.looperman.com/media/loops/505104/looperman-l-0505104-0051929-raptureofficialmusic-otto-robato.mp3,"140 bpm,Dubstep Loops,Bass Loops,2.31 MB,wav,Key : Unknown",140,Unknown,"
	Description : A synthy bass I made after listening to some UKF; if you like my loops please check out my page, on my profile!! Id love to hear the stuff you guys make
"
12,reverse-pads.mp3,13667,Reverse Pads,http://www.looperman.com/media/loops/693226/looperman-l-0693226-0192304-reverse-pads.mp3,"140 bpm,Trap Loops,Pad Loops,2.31 MB,wav,Key : C,Reason",140,C,"
	Description : Enjoy
"
13,travis-gunna-string-pad.mp3,18004,Travis - Gunna String Pad,http://www.looperman.com/media/loops/962892/looperman-l-0962892-0192339-travis-gunna-string-pad.mp3,"140 bpm,Hip Hop Loops,Pad Loops,2.31 MB,wav,Key : Unknown,FL Studio",140,Unknown,"
	Description : Made with Purity
"
14,chitex-late-night.mp3,16318,Late Night,http://www.looperman.com/media/loops/860807/looperman-l-0860807-0118763-chitex-late-night.mp3,"140 bpm,Hip Hop Loops,Piano Loops,2.31 MB,wav,Key : Unknown",140,Unknown,"
	Description : happy new year
"
15,dance-piano-chords-sidechain.mp3,17942,Dance Piano Chords - Sidechain,http://www.looperman.com/media/loops/961032/looperman-l-0961032-0128736-dance-piano-chords-sidechain.mp3,"140 bpm,Dance Loops,Piano Loops,2.31 MB,wav,Key : C",140,C,"
	Description : Here is a high energy piano chord loop for any dance/edm track. Hope you enjoy!
BPM: 140
Key: C minor
"
16,ocean-view.mp3,23195,Ocean View,http://www.looperman.com/media/loops/2952073/looperman-l-2952073-0179597-ocean-view.mp3,"140 bpm,Trap Loops,Pad Loops,2.31 MB,wav,Key : Unknown,FL Studio",140,Unknown,"
	Description : wooow how u do this...
"
17,celtic-harp.mp3,21728,Celtic Harp,http://www.looperman.com/media/loops/2874620/looperman-l-2874620-0140478-celtic-harp.mp3,"140 bpm,Trap Loops,Harp Loops,2.31 MB,wav,Key : A#",140,A#,"
	Description : MAKE SURE TO SEND ME THE LINKS TO YOUR SONGS WITH THIS LOOP IN IT :)
"
18,vibey-and-atmospheric-juice-wrld-x-lil-mosey-type-loop.mp3,25206,Vibey And Atmospheric Juice WRLD X Lil Mosey Type Loop,http://www.looperman.com/media/loops/3045267/looperman-l-3045267-0170079-vibey-and-atmospheric-juice-wrld-x-lil-mosey-type-loop.mp3,"140 bpm,Trap Loops,Piano Loops,2.31 MB,wav,Key : Unknown,FL Studio",140,Unknown,"
	Description : It is kinda happy and sad at the same time. Feel free to use it. I used the Digital Xylophone in Nexus for the melody.
"
19,optimistic-ghostkillers.mp3,10949,GhostKillers,http://www.looperman.com/media/loops/498905/looperman-l-0498905-0063889-optimistic-ghostkillers.mp3,"140 bpm,Dubstep Loops,Bass Wobble Loops,2.31 MB,wav,Key : C#",140,C#,"
	Description : Heavy,loud and distorted bass wobble.Made this one using Sytrus.
Leave a comment if you have got the time.
Nelson
"
20,trap-day.mp3,23197,Trap Day,http://www.looperman.com/media/loops/2952073/looperman-l-2952073-0177850-trap-day.mp3,"140 bpm,Trap Loops,Drum Loops,2.31 MB,wav,Key : Unknown,FL Studio",140,Unknown,"
	Description : good for k-pop
"
21,minty-bell.mp3,24683,Minty Bell,http://www.looperman.com/media/loops/3014025/looperman-l-3014025-0158743-minty-bell.mp3,"140 bpm,Hip Hop Loops,Bells Loops,2.31 MB,wav,Key : D#m,FL Studio",140,D#m,"
	Description : a omnisphere preset as always :)
~ feel free to post the beat you made with this sample and leave some feedback
greetings Chvmpion
"
22,lucid-violin.mp3,24508,Lucid Violin,http://www.looperman.com/media/loops/3005253/looperman-l-3005253-0171204-lucid-violin.mp3,"140 bpm,Trap Loops,Violin Loops,2.31 MB,wav,Key : Unknown,FL Studio",140,Unknown,"
	Description : lucid violin last part of melody comment work below love yall
"
23,dafatmandubstep-heavy-bass.mp3,13975,Heavy Bass,http://www.looperman.com/media/loops/721248/looperman-l-0721248-0065867-dafatmandubstep-heavy-bass.mp3,"140 bpm,Dubstep Loops,Bass Wobble Loops,2.31 MB,wav,Key : Unknown",140,Unknown,"
	Description : This will sound absolutely terrible without proper drums. I use this sound in one of my newer songs
"
24,peliman44-partiality-melodic-chords-cleaner.mp3,18044,Partiality Melodic Chords Cleaner,http://www.looperman.com/media/loops/963953/looperman-l-0963953-0105725-peliman44-partiality-melodic-chords-cleaner.mp3,"140 bpm,Dubstep Loops,Synth Loops,2.31 MB,wav,Key : A",140,A,"
	Description : Almost the same as the others, just a little less dirty
"
25,zooka21-whaaa.mp3,18108,Fear Me,http://www.looperman.com/media/loops/973843/looperman-l-0973843-0069030-zooka21-whaaa.mp3,"140 bpm,Dubstep Loops,Synth Loops,2.31 MB,wav,Key : C",140,C,"
	Description : If you use one of my loops in your song, I would like to hear it.
"
26,nba-youngboy-x-quondo-rondo-loop-140-bpm.mp3,25334,NBA YoungBoy X Quando Rondo Loop - 140 BPM,http://www.looperman.com/media/loops/3050314/looperman-l-3050314-0184137-nba-youngboy-x-quondo-rondo-loop-140-bpm.mp3,"140 bpm,Trap Loops,Piano Loops,2.31 MB,wav,Key : C,FL Studio",140,C,"
	Description : Make some fire please thank you!
"
27,trap-brass.mp3,18610,Trap Brass,http://www.looperman.com/media/loops/1024193/looperman-l-1024193-0171699-trap-brass.mp3,"140 bpm,Trap Loops,Brass Loops,2.31 MB,wav,Key : Unknown,FL Studio",140,Unknown,"
	Description : Trap Brass Bpm 140
"
28,sever.mp3,21188,Sever,http://www.looperman.com/media/loops/2851836/looperman-l-2851836-0177072-sever.mp3,"140 bpm,Ambient Loops,Bells Loops,2.31 MB,wav,Key : Cm,FL Studio",140,Cm,"
	Description : Similar with: 16yrold, wondagurl, Killy, Travis Scott
"
29,artificial42-sand-dune-shadows-bass.mp3,19169,Sand Dune Shadows Bass,http://www.looperman.com/media/loops/1058438/looperman-l-1058438-0107125-artificial42-sand-dune-shadows-bass.mp3,"140 bpm,Dubstep Loops,Bass Wobble Loops,2.31 MB,wav,Key : E",140,E,"
	Description : Here is a nice bass line at 140 bpm in Em
"
30,chopped-keys.mp3,23004,Chopped Keys,http://www.looperman.com/media/loops/2940741/looperman-l-2940741-0170762-chopped-keys.mp3,"140 bpm,Hip Hop Loops,Piano Loops,2.31 MB,wav,Key : D,FL Studio",140,D,"
	Description : Chopped piano sample. Add some reverb and an EQ. Send me the link of what you made.
"
31,21-savage-pad.mp3,24513,21 Savage Pad,http://www.looperman.com/media/loops/3005253/looperman-l-3005253-0171197-21-savage-pad.mp3,"140 bpm,Rap Loops,Pad Loops,2.31 MB,wav,Key : Unknown,FL Studio",140,Unknown,"
	Description : pad of the melody
"
32,jayjaybb-growley-dave-synth.mp3,15140,Growley Dave Synth,http://www.looperman.com/media/loops/789156/looperman-l-0789156-0060859-jayjaybb-growley-dave-synth.mp3,"140 bpm,Dubstep Loops,Synth Loops,2.31 MB,wav,Key : Unknown",140,Unknown,"
	Description : synth to growley dave
"
33,thesavage-a140-space-core-pad.mp3,13000,A140-Space Core Pad,http://www.looperman.com/media/loops/658685/looperman-l-0658685-0055438-thesavage-a140-space-core-pad.mp3,"140 bpm,Trance Loops,Pad Loops,2.31 MB,wav,Key : A",140,A,"
	Description : Space, Space, Wanna go to Space...lol  Seriously folks this one is super cool on D&B or trance...anytime you need that huge breakdown with enough space to hold billions and billions of stars.
"
