"","algo2","target","algo1","timestamp","global_number","choosen_algo"
"1","hutchinson","140-l-0159051-0190162-minor2go-minor2go-type-guitar-alynia","mashability",2020-05-22 12:13:44,5,0
"2","roman_diss","140-l-0159051-0190162-minor2go-minor2go-type-guitar-alynia","mashability_onlyh",2020-05-22 12:14:19,9,0
"3","tiv_beatwise","140-l-0159051-0190162-minor2go-minor2go-type-guitar-alynia","mashability_onlyh",2020-05-22 12:14:27,10,0
"4","tiv_framewise","140-l-0159051-0190162-minor2go-minor2go-type-guitar-alynia","mashability_onlyh",2020-05-22 12:14:35,11,0
"5","tiv_whole","140-l-0159051-0190162-minor2go-minor2go-type-guitar-alynia","mashability_onlyh",2020-05-22 12:14:41,12,0
"6","hutchinson","140-l-0159051-0190162-minor2go-minor2go-type-guitar-alynia","mashability_onlyh",2020-05-22 12:14:49,13,0
"7","p_harmon","140-l-0159051-0190162-minor2go-minor2go-type-guitar-alynia","mashability_onlyh",2020-05-22 12:14:55,14,0
"8","e_dissonance","140-l-0159051-0190162-minor2go-minor2go-type-guitar-alynia","roman_diss",2020-05-22 14:48:51,22,0
"9","e_dissonance","140-l-0159051-0190162-minor2go-minor2go-type-guitar-alynia","hutchinson",2020-05-22 23:48:46,40,0
"10","mashability_onlyh","140-l-0173158-0154547-cmk-hard-piano-140b","mashability",2020-05-22 23:51:03,45,0
"11","hutchinson","140-l-0173158-0154547-cmk-hard-piano-140b","mashability",2020-05-23 15:19:04,50,0
"12","inharmonicity","140-l-0173158-0154547-cmk-hard-piano-140b","mashability",2020-05-23 15:20:21,53,0
"13","p_harmon","140-l-0173158-0154547-cmk-hard-piano-140b","mashability_onlyh",2020-05-23 15:28:30,59,0
"14","inharmonicity","140-l-0173158-0154547-cmk-hard-piano-140b","mashability_onlyh",2020-05-23 15:29:09,61,0
"15","tiv_whole","140-l-0173158-0154547-cmk-hard-piano-140b","roman_diss",2020-05-24 11:03:52,64,0
"16","hutchinson","140-l-0173158-0154547-cmk-hard-piano-140b","roman_diss",2020-05-24 11:04:14,65,0
"17","tiv_whole","140-l-0173158-0154547-cmk-hard-piano-140b","tiv_beatwise",2020-05-24 11:06:10,70,0
"18","hutchinson","140-l-0173158-0154547-cmk-hard-piano-140b","tiv_framewise",2020-05-24 11:07:22,76,0
"19","mashability_onlyh","140-l-0321618-0117600-dj4kat-susurri-synth-loo","mashability",2020-05-26 06:05:19,90,0
"20","p_harmon","140-l-0321618-0117600-dj4kat-susurri-synth-loo","mashability",2020-05-26 08:25:49,96,0
"21","p_harmon","140-l-0321618-0117600-dj4kat-susurri-synth-loo","mashability",2020-05-26 08:26:12,96,0
"22","p_harmon","140-l-0321618-0117600-dj4kat-susurri-synth-loo","mashability",2020-05-26 08:25:53,96,0
"23","tiv_framewise","140-l-0321618-0117600-dj4kat-susurri-synth-loo","mashability_onlyh",2020-05-26 09:24:48,101,0
"24","tiv_beatwise","140-l-0321618-0117600-dj4kat-susurri-synth-loo","roman_diss",2020-05-26 09:27:45,107,0
"25","tiv_whole","140-l-0321618-0117600-dj4kat-susurri-synth-loo","roman_diss",2020-05-26 09:32:03,109,0
"26","e_dissonance","140-l-0321618-0117600-dj4kat-susurri-synth-loo","roman_diss",2020-05-26 09:32:35,112,0
"27","e_dissonance","140-l-0321618-0117600-dj4kat-susurri-synth-loo","tiv_beatwise",2020-05-26 09:33:55,118,0
"28","tiv_framewise","140-l-0340535-0144544-piano-chord-progression-for-edm-or-dubste","mashability",2020-05-26 12:24:17,138,0
"29","e_dissonance","140-l-0340535-0144544-piano-chord-progression-for-edm-or-dubste","mashability",2020-05-26 10:29:08,142,0
"30","hutchinson","140-l-0340535-0144544-piano-chord-progression-for-edm-or-dubste","roman_diss",2020-05-26 11:20:24,155,0
"31","inharmonicity","140-l-0340535-0144544-piano-chord-progression-for-edm-or-dubste","roman_diss",2020-05-26 11:21:35,158,0
"32","tiv_whole","140-l-0340535-0144544-piano-chord-progression-for-edm-or-dubste","tiv_framewise",2020-05-26 12:01:14,165,0
"33","e_dissonance","140-l-0340535-0144544-piano-chord-progression-for-edm-or-dubste","hutchinson",2020-05-26 12:06:56,175,0
"34","e_dissonance","140-l-0340535-0144544-piano-chord-progression-for-edm-or-dubste","p_harmon",2020-05-26 12:07:44,177,0
"35","tiv_whole","140-l-0345547-0055403-cufool-air-synth","roman_diss",2020-05-26 12:30:40,199,0
